Ответ,Процент,Сколько
Получать эмоциональную поддержку,56.52173913043478,13
"Жить с человеком, к которому чувствуешь любовь и привязанность",47.82608695652174,11
Сексуальная близость,30.434782608695656,7
"Более комфортная, обустроенная жизнь",26.08695652173913,6
Cоциальное доверие,21.73913043478261,5
Завести своих детей,30.434782608695656,7
Финансовая стабильность,4.3478260869565215,1
Реализовать ожидания своих родителей или сверстников,8.695652173913043,2
Независимость от родителей,4.3478260869565215,1
